Username,Comment
@premaanand_shorts,Reuploaded😂😂
@kingofmurga4292,😅😅😅
@kingofmurga4292,To bacha hua fish ka kya hua
@sakshchoudhary616,Repeat ep 😢
@GaneshPatil-m7r,😠😠...Meine ye Dekga he bar bar vohe series dalte Hain lagta hai dekhna hi band karna padega...😠😠😠
@d9mRAMJI,Love from Pakistan bro keep uploading everyday plizzz plizzz plizzz plizzz plizzz plizzz plizzz plizzz plizzz plizzz plizzz plizzz plizzz plizzz plizzz plizzz plizzz
@sajidsayedaesthetics2255,"bolta ha ek cut se infection ho sakta he , aur wahin bina joote chappal ke ghumta ha 😂,"
@sarvjeet355,Ye to puraana episod hai
@sarvjeet355,Aaa gye Bhai primal servivor
@rajnikantkumar9522,Very nice adventure ❤❤❤❤
@AbidHussainHussaina,This episode is old i remember
@APPU_GAMER5,Reuploded video 😢
@RayugaReings,Respect Button ✅ For the Cameraman 📸
@SanjoyHembram-mx3vw,I love you bro ❤🎉
@Errorsf95,Unsubscribe this channel
@Proyusuff,Mujhe ye series dekhna bhout pasand ge 😅
@RayugaReings,Bhai Safety shoes use kiya kr 😢 warna lene ke Dene padenge infection hua toh
@DHUBRI78330,Respect
@akgaming9695,ha bro daile aana chaea like kaeo
@rajaakhat_500patan6,Bhai video mukta aatlo time kem lagiyo
@Vansh_Partap,Jisne bhi yah episode pahle dekha hua hai like karo 😢
@alsaremprintingservice6269,Same same video
@Asad_Khan22,Old video😢
@ritikraushan3610,i love my india.🥰🥰
@Muhammadsalarhassan,Episode 4&5 upload
@firdusx3538,aapka video mujhe bahut Achcha lagta hai ❤❤
@alsaremprintingservice6269,I think I've seen videos like this before
@AMITChaudhary-lv1wg,Fir se Wohi episode upload kar diya pagal insaan ne 😡
@DsJourney2.0,Bhai Reuplode episode mat dalo yaar dekha huaa hain it episode bro try to get a new episode next time plzz
@srutijagat7616,Ye to purana episode hai bar bar usi ko post lar rahe hai
@CrazyGaming-zz6wh,Are bhai primal survivor ke video jaldi se jaldi dala karo
@funnygamer1142,Kon kon new video ka intezar kar raha hai
@funnygamer1142,Kis-kis ne is video ka basebri se intezar Kiya hai 😢😂😂
@amnzyx,"Really I like your all video, big fan"
@jbbindasskshetry2451,Naya episode dalo yaar 😢😢😢
@AnanJamatia-p1e,Sahii kahaa harr rose aana chaheye
@jaymaharashtra2515,thank you team ❤❤❤
@vinodkumar-nj1yg,Re uploaded
@SanjibKumarTharu-d3l,Dekha dekha huwA episode kaun dal raha be 😡😡
@NeeteshRathod,Thank you so much please upload daily new episode ❤❤❤❤❤❤
@Vlog00001,Bahut dino baad 😢
@hamragamerbhai9861,Jaldi jaldi episode daliyega
@PELAPATOFF,Ayo this video is not new
@himashudhariya2333,Old episode
@RAJMODDERR,Bhai 1 vedio 1 hi bar dalo contant ki kami hai to hamare haweli pe milo
@DLX44,Video dala karo yarrr pls 😢
@bhardwasrohit2002,Jaldi Se Comment Krdeta hu SUBSCRIBERS  Badh jyenge😂
@struggler-here,Only Legend know re-uploaded episode 😅
@siddheshbhosale2339,"National Geographic India you uploaded this series after so much long time and you repeated the already uploaded video.
We want new episodes of 'Primal Survivor' series."
@sanjaykujur7615,Fir se upload kr Diya is ko pahle dekh chuke hy
@THEANALYSIS97,M ek upsc aspirant hu parday library m jaate hi first primal survivor dekhta hun fr acche s padhta hun
@THEANALYSIS97,Lekin  y old wala daal diya 😊
@Blessedbarber123,Welcome ❤
@RareClips324,Finally🎉
@AsadNiz-k4e,Old video
@AnupDeb-kt2tu,Finally Episode 😢
@deepabara-dh1xl,big fan bro ❤❤
@VishalVerma-l1c,Ye episode daikha hua hai please repted video na dale😢😢😢😢
@milanofficil,Love from india ❤🎉
@PartimaDas-yn8pe,Guys ya bhi re-upload ep h na shyd
@milanofficil,Jaldi video dala karo isi video ke subscribe Kiya hu 🎉
@Nonstopgamer1802,Ma bhi unsubscribe karne wala hi tha mere ko sirf parimal survivar ki video hi acchi lagti hai
@HarrySidhu271,Old episode 😢
@IM_BUTTERFLY_FOREVER,reuploaded content 😐
@From-your-heart09i,Bhai ye ky bich me ghar chala gaya tha 😂😂😂
@vh15274,Main to  unsubscribe karne wala tha😮
@shivrajdevvines5401,Re uploading 😮
@ankitkumar9038,❤❤
@sanjoormian477,"Bhai new episodes dalo yaarr
Ye purana wala hai"
@Naturlife123,Finally Episode 😢❤
@raselbadil6712,Love it’s form Bangladesh 🇧🇩❤️
@Babulusuna-lr6rq,Aakhir ka sakoon Ahigeya Thanks bro❤
@Neetaspirant002,Maine ye phle hi dekh liya hai 😅
@faizanwazir9467,"At last wait is over😢
Plx upload daily one ep ❤"
@Abh29134,Unsubscribe karne hi wala tha lekin ab lagatar aana chahiye primal survivar 😠
@AMITChaudhary-lv1wg,Finally aagaya ❤
@AbhishekYadav-ld9lt,Repeated video
@soumakbinduwildlife,Most awaited show
@harshitchaudhary7840,Reuploaded 😂😂😂
@HabibI-g6g,Nice video ❤❤
@mdmustaque6148,I was waiting for this video of yours for a long time  😢😢😢😢❤❤❤❤❤❤❤
@ignitedminds010,❤
@munjurrahman246,Fast Comment
@cartonkidunya8080,Nice
@dadaff62,First view
@pitureac,❤❤
